pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[16-2_vs_41-1]	17.882455	0	1.0	0.0	2	17.882455	unrelated	unrelated		UN	UN
[16-2_vs_41-2]	17.882455	0	1.0	0.0	2	17.882455	unrelated	unrelated		UN	UN
[16-2_vs_43-1]	48.451036	0	1.0	0.0	4	48.451036	unrelated	unrelated		UN	UN
[16-2_vs_43-2]	48.451036	0	1.0	0.0	4	48.451036	unrelated	unrelated		UN	UN
[16-2_vs_44-1]	25.778303	0	1.0	0.0	3	25.778303	unrelated	unrelated		UN	UN
[16-2_vs_44-2]	25.778303	0	1.0	0.0	3	25.778303	unrelated	unrelated		UN	UN
[16-2_vs_45-1]	49.91897	0	1.0	0.0	4	49.91897	unrelated	unrelated		UN	UN
[16-2_vs_46-1]	42.837849	0	1.0	0.0	3	42.837849	unrelated	unrelated		UN	UN
[16-2_vs_46-2]	58.338875	0	1.0	0.0	5	58.338875	unrelated	unrelated		UN	UN
[16-2_vs_47-1]	55.291643	0	1.0	0.0	5	55.291643	unrelated	unrelated		UN	UN
[16-2_vs_47-2]	55.291643	0	1.0	0.0	5	55.291643	unrelated	unrelated		UN	UN
[16-2_vs_48-1]	50.331681	0	1.0	0.0	4	50.331681	unrelated	unrelated		UN	UN
[16-2_vs_48-2]	50.331681	0	1.0	0.0	4	50.331681	unrelated	unrelated		UN	UN
[16-2_vs_49-1]	16.578394000000003	0	1.0	0.0	2	16.578394000000003	unrelated	unrelated		UN	UN
[16-2_vs_49-2]	16.578394000000003	0	1.0	0.0	2	16.578394000000003	unrelated	unrelated		UN	UN
[17-1_vs_17-2]	3101.350852	0	1.0	0.0	24	3101.350852	unrelated	unrelated		UN	UN
[17-1_vs_18-1]	1123.863745	0	1.0	0.0	72	1123.863745	50.0	FS	C-1(FS)	2	2
[17-1_vs_18-2]	1134.651028	0	1.0	0.0	73	1134.651028	unrelated	unrelated		UN	UN
