pair	IBD1_len	IBD2_len	R1	R2	Num_Segs	Total_len	target1	target2	real_kinship	kinship	kinship_considered_hs
[6-2_vs_35-2]	49.432601	0	1.0	0.0	17	49.432601	unrelated	unrelated		UN	UN
[6-2_vs_36-1]	1.081161	0	1.0	0.0	1	1.081161	unrelated	unrelated		UN	UN
[6-2_vs_36-2]	39.828587	0	1.0	0.0	17	39.828587	unrelated	unrelated		UN	UN
[6-2_vs_37-1]	27.787709	0	1.0	0.0	9	27.787709	unrelated	unrelated		UN	UN
[6-2_vs_37-2]	51.745074	0	1.0	0.0	22	51.745074	unrelated	unrelated		UN	UN
[6-2_vs_38-1]	99.168736	0	1.0	0.0	25	99.168736	unrelated	unrelated		UN	UN
[6-2_vs_38-2]	88.481415	0	1.0	0.0	23	88.481415	unrelated	unrelated		UN	UN
[6-2_vs_39-2]	70.546781	0	1.0	0.0	30	70.546781	unrelated	unrelated		UN	UN
[6-2_vs_40-1]	52.672025	0	1.0	0.0	14	52.672025	unrelated	unrelated		UN	UN
[6-2_vs_41-1]	72.48924099999999	0	1.0	0.0	21	72.48924099999999	unrelated	unrelated		UN	UN
[6-2_vs_41-2]	75.47637399999999	0	1.0	0.0	23	75.47637399999999	unrelated	unrelated		UN	UN
[6-2_vs_42-1]	63.212532	0	1.0	0.0	23	63.212532	unrelated	unrelated		UN	UN
[6-2_vs_42-2]	73.24289	0	1.0	0.0	24	73.24289	unrelated	unrelated		UN	UN
[6-2_vs_43-1]	96.002781	0	1.0	0.0	25	96.002781	unrelated	unrelated		UN	UN
[6-2_vs_43-2]	73.207899	0	1.0	0.0	19	73.207899	unrelated	unrelated		UN	UN
[6-2_vs_44-1]	60.604775	0	1.0	0.0	20	60.604775	unrelated	unrelated		UN	UN
[6-2_vs_44-2]	57.883695	0	1.0	0.0	20	57.883695	unrelated	unrelated		UN	UN
[6-2_vs_45-1]	72.098507	0	1.0	0.0	27	72.098507	unrelated	unrelated		UN	UN
[6-2_vs_46-1]	38.356236	0	1.0	0.0	17	38.356236	unrelated	unrelated		UN	UN
[6-2_vs_46-2]	74.946763	0	1.0	0.0	37	74.946763	unrelated	unrelated		UN	UN
[6-2_vs_47-1]	54.705731	0	1.0	0.0	23	54.705731	unrelated	unrelated		UN	UN
[6-2_vs_47-2]	58.646527	0	1.0	0.0	26	58.646527	unrelated	unrelated		UN	UN
[6-2_vs_48-1]	62.708559	0	1.0	0.0	25	62.708559	unrelated	unrelated		UN	UN
[6-2_vs_48-2]	59.281234000000005	0	1.0	0.0	20	59.281234000000005	unrelated	unrelated		UN	UN
[6-2_vs_49-1]	63.232047	0	1.0	0.0	28	63.232047	unrelated	unrelated		UN	UN
[6-2_vs_49-2]	43.548296	0	1.0	0.0	21	43.548296	unrelated	unrelated		UN	UN
[6-2_vs_7-1]	177.414758	0	1.0	0.0	50	177.414758	unrelated	unrelated		UN	UN
[6-2_vs_7-2]	184.489432	0	1.0	0.0	54	184.489432	unrelated	unrelated		UN	UN
[6-2_vs_8-1]	297.824017	0	1.0	0.0	71	297.824017	unrelated	unrelated		UN	UN
[6-2_vs_8-2]	278.675967	0	1.0	0.0	69	278.675967	unrelated	unrelated		UN	UN
[6-2_vs_9-1]	258.760532	0	1.0	0.0	57	258.760532	unrelated	unrelated		UN	UN
[6-2_vs_9-2]	259.851967	0	1.0	0.0	57	259.851967	unrelated	unrelated		UN	UN
[7-1_vs_10-1]	267.699628	0	1.0	0.0	87	267.699628	unrelated	unrelated	C-3a(FC)	4	4
[7-1_vs_10-2]	289.765998	0	1.0	0.0	84	289.765998	unrelated	unrelated		UN	UN
[7-1_vs_11-2]	372.020312	0	1.0	0.0	103	372.020312	unrelated	unrelated		UN	UN
[7-1_vs_12-1]	472.962389	0	1.0	0.0	145	472.962389	unrelated	unrelated	C-3a(FC)	4	4
